,Tumor Sub-Compartment,Singlet Model,Triplet Model,Singlet Model DSC,Triplet Model DSC,Initial Model DSC,Percent Increase of singlet over initial model,Percent Increase of triplet over initial model,P value for significance of means over cases used to compute above,Differences In Percent Increase
0,Average,singlet_0,triplet_0,0.7439958373836555,0.7490137000608906,0.6267200744845778,18.712622696109847,19.51327722777807,5.903390142636793e-06,-0.8006545316682221
1,ET,singlet_0,triplet_0,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
2,TC,singlet_0,triplet_0,0.7133484464194944,0.7143076996346159,0.5634957853181098,26.59339519581114,26.763627740599393,0.35044433892117854,-0.17023254478825223
3,WT,singlet_0,triplet_0,0.8349251523796946,0.8349251523796946,0.7210935904759767,15.785962239461938,15.785962239461938,NA,0.0
4,Average,singlet_0,triplet_1,0.7439958373836555,0.7503563899131085,0.6267200744845778,18.712622696109847,19.7275179880285,5.473527868896096e-11,-1.014895291918652
5,ET,singlet_0,triplet_1,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
6,TC,singlet_0,triplet_1,0.7133484464194944,0.71833576919127,0.5634957853181098,26.59339519581114,27.47846353202952,0.011524713503470388,-0.885068336218378
7,WT,singlet_0,triplet_1,0.8349251523796946,0.8349251523796946,0.7210935904759767,15.785962239461938,15.785962239461938,NA,0.0
8,Average,singlet_0,triplet_2,0.7439958373836555,0.7486939489891832,0.6267200744845778,18.712622696109847,19.46225746876198,4.3306047447615654e-19,-0.7496347726521329
9,ET,singlet_0,triplet_2,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
10,TC,singlet_0,triplet_2,0.7133484464194944,0.7133484464194944,0.5634957853181098,26.59339519581114,26.59339519581114,NA,0.0
11,WT,singlet_0,triplet_2,0.8349251523796946,0.8349251523796946,0.7210935904759767,15.785962239461938,15.785962239461938,NA,0.0
12,Average,singlet_0,triplet_3,0.7439958373836555,0.748995769970474,0.6267200744845778,18.712622696109847,19.510416286961487,0.0021332664425227983,-0.79779359085164
13,ET,singlet_0,triplet_3,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
14,TC,singlet_0,triplet_3,0.7133484464194944,0.7143076996346159,0.5634957853181098,26.59339519581114,26.763627740599393,0.35044433892117854,-0.17023254478825223
15,WT,singlet_0,triplet_3,0.8349251523796946,0.8348713621084437,0.7210935904759767,15.785962239461938,15.778502698569973,0.025506154935437838,0.007459540891964878
16,Average,singlet_0,triplet_4,0.7439958373836555,0.7466833042615029,0.6267200744845778,18.712622696109847,19.14143724781503,0.5342350237394984,-0.4288145517051838
